word,counts,test_or_train
about,45,TRAIN
emergency,7,TRAIN
conditions,8,TRAIN
stinging,7,TRAIN
vapor,8,TRAIN
caused,29,TRAIN
chloride,7,TRAIN
vaporization,7,TRAIN
steve,7,TRAIN
collects,7,TRAIN
rare,9,TRAIN
novel,7,TRAIN
coins,7,TRAIN
clear,7,TRAIN
pronunciation,7,TRAIN
appreciated,14,TRAIN
other,19,TRAIN
sources,3,TRAIN
financing,1,TRAIN
unavailable,1,TRAIN
must,38,TRAIN
provided,1,TRAIN
space,3,TRAIN
probes,1,TRAIN
yielded,2,TRAIN
information,2,TRAIN
academic,14,TRAIN
aptitude,14,TRAIN
guarantees,8,TRAIN
diploma,7,TRAIN
cyclical,7,TRAIN
programs,8,TRAIN
compile,7,TRAIN
huge,28,TRAIN
power,8,TRAIN
outage,7,TRAIN
rarely,15,TRAIN
occurs,14,TRAIN
process,10,TRAIN
especially,1,TRAIN
difficult,9,TRAIN
since,3,TRAIN
gyro,1,TRAIN
drifting,1,TRAIN
typically,1,TRAIN
random,1,TRAIN
surprise,2,TRAIN
plan,12,TRAIN
perfectly,1,TRAIN
"insulate,",1,TRAIN
"weatherstrip,",1,TRAIN
double-glaze,1,TRAIN
maximum,1,TRAIN
instructions,14,TRAIN
desperately,7,TRAIN
need,30,TRAIN
updating,7,TRAIN
salad,7,TRAIN
dressing,7,TRAIN
while,19,TRAIN
one,47,TRAIN
element,1,TRAIN
announcing,1,TRAIN
"progress,",1,TRAIN
another,20,TRAIN
delineating,1,TRAIN
its,25,TRAIN
problems,5,TRAIN
whoever,7,TRAIN
cooperates,7,TRAIN
finding,7,TRAIN
nan's,7,TRAIN
cameo,7,TRAIN
rewarded,14,TRAIN
connoisseur,7,TRAIN
enjoy,14,TRAIN
shellfish,14,TRAIN
dish,8,TRAIN
lone,7,TRAIN
star,7,TRAIN
shone,14,TRAIN
evening,29,TRAIN
sky,7,TRAIN
rich,23,TRAIN
should,42,TRAIN
invest,7,TRAIN
black,13,TRAIN
zircons,7,TRAIN
instead,15,TRAIN
stylish,7,TRAIN
shoes,15,TRAIN
trish,7,TRAIN
hours,14,TRAIN
movies,35,TRAIN
saturday,7,TRAIN
fill,16,TRAIN
canteen,7,TRAIN
fresh,22,TRAIN
spring,18,TRAIN
easygoing,7,TRAIN
zoologist,7,TRAIN
relaxed,8,TRAIN
throughout,7,TRAIN
voyage,7,TRAIN
origin,1,TRAIN
state,11,TRAIN
automobile,1,TRAIN
practices,1,TRAIN
ideal,8,TRAIN
morning,14,TRAIN
begins,7,TRAIN
hot,31,TRAIN
coffee,14,TRAIN
inflammatory,1,TRAIN
cells,3,TRAIN
were,75,TRAIN
strikingly,1,TRAIN
absent,1,TRAIN
pilots,1,TRAIN
"worried,",1,TRAIN
did,44,TRAIN
not,116,TRAIN
show,5,TRAIN
remember,8,TRAIN
identical,8,TRAIN
twins,7,TRAIN
enter,14,TRAIN
freely,15,TRAIN
clasp,7,TRAIN
screw,7,TRAIN
left,14,TRAIN
hand,26,TRAIN
illegal,7,TRAIN
postdate,7,TRAIN
check,8,TRAIN
portrayal,1,TRAIN
edgy,1,TRAIN
head-in-the-clouds,1,TRAIN
artist,1,TRAIN
virtually,2,TRAIN
flawless,1,TRAIN
powder,4,TRAIN
canister,1,TRAIN
ran,5,TRAIN
others,9,TRAIN
ephemeral,1,TRAIN
advertising,8,TRAIN
verse,8,TRAIN
plymouth,7,TRAIN
variety,8,TRAIN
store,14,TRAIN
changes,8,TRAIN
wealthy,7,TRAIN
tycoons,7,TRAIN
splurged,7,TRAIN
bought,22,TRAIN
both,44,TRAIN
yacht,7,TRAIN
schooner,7,TRAIN
either,8,TRAIN
or,78,TRAIN
veterinarian,1,TRAIN
thermometer,10,TRAIN
under,12,TRAIN
"place,",1,TRAIN
follow,1,TRAIN
advice,2,TRAIN
as,125,TRAIN
give,16,TRAIN
addition,7,TRAIN
subtraction,7,TRAIN
learned,7,TRAIN
skills,7,TRAIN
course,9,TRAIN
can,72,TRAIN
tunafish,7,TRAIN
sandwich,7,TRAIN
bob,14,TRAIN
found,28,TRAIN
clams,7,TRAIN
ocean's,7,TRAIN
edge,15,TRAIN
technical,8,TRAIN
writers,7,TRAIN
abbreviate,7,TRAIN
bibliographies,7,TRAIN
"ellipsoids,",1,TRAIN
conclusions,1,TRAIN
reasonable,2,TRAIN
approximation,1,TRAIN
annoying,7,TRAIN
raccoons,7,TRAIN
slipped,8,TRAIN
phil's,7,TRAIN
garden,21,TRAIN
night,17,TRAIN
child,16,TRAIN
pop,7,TRAIN
thick,16,TRAIN
glue,7,TRAIN
oozed,7,TRAIN
tube,15,TRAIN
large,24,TRAIN
household,7,TRAIN
needs,24,TRAIN
lots,14,TRAIN
appliances,7,TRAIN
"busy,",1,TRAIN
"said,",4,TRAIN
having,2,TRAIN
someone,4,TRAIN
submit,1,TRAIN
monkey-gland,1,TRAIN
operation,8,TRAIN
came,14,TRAIN
back,24,TRAIN
day,9,TRAIN
reassure,1,TRAIN
shrugged,2,TRAIN
casually,1,TRAIN
developing,7,TRAIN
"film,",7,TRAIN
toxic,7,TRAIN
chemicals,7,TRAIN
used,28,TRAIN
shadow,2,TRAIN
vanished,2,TRAIN
utopians,1,TRAIN
labor,3,TRAIN
we,154,TRAIN
apply,7,TRAIN
auditory,7,TRAIN
modeling,7,TRAIN
computer,7,TRAIN
speech,14,TRAIN
recognition,7,TRAIN
high,22,TRAIN
security,7,TRAIN
prison,7,TRAIN
surrounded,8,TRAIN
barbed,9,TRAIN
wire,17,TRAIN
fifth,7,TRAIN
jar,7,TRAIN
contains,7,TRAIN
"big,",8,TRAIN
juicy,7,TRAIN
peaches,7,TRAIN
traffic,15,TRAIN
frequently,15,TRAIN
failed,1,TRAIN
measure,2,TRAIN
engineers',1,TRAIN
rosy,1,TRAIN
estimates,1,TRAIN
porcupines,7,TRAIN
resemble,7,TRAIN
sea,8,TRAIN
urchins,7,TRAIN
"precaution,",7,TRAIN
outlaws,7,TRAIN
gunpowder,7,TRAIN
their,58,TRAIN
stronghold,7,TRAIN
misprint,7,TRAIN
provoked,7,TRAIN
immediate,9,TRAIN
disclaimer,7,TRAIN
careful,8,TRAIN
plow,7,TRAIN
flower,7,TRAIN
beds,7,TRAIN
looked,14,TRAIN
spotted,7,TRAIN
hyenas,7,TRAIN
jaguars,7,TRAIN
safari,7,TRAIN
"yeah,",2,TRAIN
what're,1,TRAIN
gonna,3,TRAIN
eat,29,TRAIN
symposium,7,TRAIN
might,18,TRAIN
begin,10,TRAIN
monday,21,TRAIN
"morphological,",1,TRAIN
"physical,",1,TRAIN
optical,1,TRAIN
property,1,TRAIN
values,9,TRAIN
also,24,TRAIN
given,5,TRAIN
elm,14,TRAIN
forest,14,TRAIN
nearly,11,TRAIN
overwhelmed,7,TRAIN
dutch,7,TRAIN
disease,7,TRAIN
range,2,TRAIN
vital,2,TRAIN
detail,3,TRAIN
any,35,TRAIN
us,32,TRAIN
"miss,",1,TRAIN
pick,1,TRAIN
pieces,2,TRAIN
who,36,TRAIN
going,15,TRAIN
stop,3,TRAIN
"avocados,",1,TRAIN
very,18,TRAIN
nutrients,1,TRAIN
lullaby,1,TRAIN
goodnight,1,TRAIN
shook,2,TRAIN
problem,15,TRAIN
concerns,1,TRAIN
"longitudes,",1,TRAIN
"latitudes,",1,TRAIN
angular,1,TRAIN
velocities,1,TRAIN
bare,1,TRAIN
floorboards,1,TRAIN
man,16,TRAIN
lay,8,TRAIN
face,11,TRAIN
down,40,TRAIN
then,28,TRAIN
decide,2,TRAIN
want,10,TRAIN
period,3,TRAIN
been,21,TRAIN
humanism,1,TRAIN
good,34,TRAIN
chortled,2,TRAIN
appreciatively,1,TRAIN
decided,2,TRAIN
trip,1,TRAIN
worth,2,TRAIN
time,23,TRAIN
bandaged,7,TRAIN
wounds,7,TRAIN
skill,7,TRAIN
doctor,15,TRAIN
cigarettes,7,TRAIN
clay,11,TRAIN
ashtray,7,TRAIN
overflowed,7,TRAIN
onto,9,TRAIN
oak,8,TRAIN
table,8,TRAIN
last,11,TRAIN
year's,7,TRAIN
shortage,21,TRAIN
steep,7,TRAIN
price,16,TRAIN
increases,7,TRAIN
cab,8,TRAIN
repainting,8,TRAIN
stay,3,TRAIN
right,11,TRAIN
here,19,TRAIN
where,11,TRAIN
"are,",1,TRAIN
"kid,",1,TRAIN
called,5,TRAIN
remove,9,TRAIN
splinter,14,TRAIN
pair,8,TRAIN
tweezers,7,TRAIN
feed,1,TRAIN
pressure,2,TRAIN
major,8,TRAIN
importance,3,TRAIN
no,71,TRAIN
reason,3,TRAIN
misinterpret,1,TRAIN
ignore,1,TRAIN
intent,1,TRAIN
letter,2,TRAIN
markets,2,TRAIN
become,13,TRAIN
competitive,1,TRAIN
consumers,1,TRAIN
selective,1,TRAIN
took,26,TRAIN
word,10,TRAIN
"it,",17,TRAIN
really,12,TRAIN
sermon,7,TRAIN
emphasized,9,TRAIN
affirmative,7,TRAIN
action,10,TRAIN
lifeboats,1,TRAIN
stuck,1,TRAIN
fast,1,TRAIN
cottage,8,TRAIN
cheese,28,TRAIN
chives,7,TRAIN
delicious,7,TRAIN
westchester,7,TRAIN
county,8,TRAIN
new,68,TRAIN
york,7,TRAIN
help,22,TRAIN
celebrate,7,TRAIN
brother's,7,TRAIN
success,8,TRAIN
equipment:,1,TRAIN
basic,2,TRAIN
pottery,1,TRAIN
studio,1,TRAIN
equipment,9,TRAIN
privations,1,TRAIN
almost,16,TRAIN
beyond,4,TRAIN
endurance,1,TRAIN
tragic,1,TRAIN
stage,1,TRAIN
platform,3,TRAIN
extending,1,TRAIN
precariously,1,TRAIN
between,5,TRAIN
heaven,1,TRAIN
hell,2,TRAIN
people,14,TRAIN
live,18,TRAIN
forever,1,TRAIN
itemize,7,TRAIN
accounts,7,TRAIN
agency,21,TRAIN
full,10,TRAIN
moon,7,TRAIN
brightly,7,TRAIN
too,38,TRAIN
much,46,TRAIN
trouble,10,TRAIN
heat,7,TRAIN
compounded,7,TRAIN
tenant's,7,TRAIN
grievances,8,TRAIN
garbage,8,TRAIN
nearer,7,TRAIN
window,7,TRAIN
assumed,1,TRAIN
terrifying,1,TRAIN
inertia,1,TRAIN
inanimate,1,TRAIN
matter,3,TRAIN
"outside,",3,TRAIN
hugging,2,TRAIN
walls,3,TRAIN
buildings,1,TRAIN
dodging,1,TRAIN
doorways,1,TRAIN
firmly,1,TRAIN
insist,1,TRAIN
bobby,1,TRAIN
pins,2,TRAIN
hair,13,TRAIN
worn,2,TRAIN
fasciculations,1,TRAIN
sensory,1,TRAIN
defects,1,TRAIN
look,21,TRAIN
somewhere,5,TRAIN
else,21,TRAIN
meeting,7,TRAIN
adjourned,7,TRAIN
travel,2,TRAIN
long,33,TRAIN
distances,1,TRAIN
assure,1,TRAIN
continued,3,TRAIN
existence,3,TRAIN
love,4,TRAIN
girl,6,TRAIN
scholastic,7,TRAIN
judged,7,TRAIN
standardized,7,TRAIN
tests,8,TRAIN
him,76,TRAIN
wasn't,4,TRAIN
far,7,TRAIN
ghettos,1,TRAIN
continental,7,TRAIN
drift,7,TRAIN
geological,14,TRAIN
theory,8,TRAIN
smash,7,TRAIN
lightbulbs,7,TRAIN
cash,7,TRAIN
value,11,TRAIN
diminish,7,TRAIN
nothing,21,TRAIN
adult,7,TRAIN
male,7,TRAIN
baboon's,7,TRAIN
teeth,12,TRAIN
suitable,14,TRAIN
eating,15,TRAIN
agree,8,TRAIN
essay,14,TRAIN
barely,21,TRAIN
intelligible,7,TRAIN
can't,1,TRAIN
seem,4,TRAIN
locate,1,TRAIN
landmarks,1,TRAIN
snow,9,TRAIN
prepare,1,TRAIN
mustard,4,TRAIN
"cream,",1,TRAIN
blend,1,TRAIN
make,36,TRAIN
thin,9,TRAIN
paste,2,TRAIN
when,47,TRAIN
"shed,",1,TRAIN
leave,3,TRAIN
rust,2,TRAIN
marks,1,TRAIN
"can,",1,TRAIN
"example,",2,TRAIN
significant,2,TRAIN
university-wide,1,TRAIN
issues,1,TRAIN
senate,1,TRAIN
four,11,TRAIN
extra,15,TRAIN
eggs,8,TRAIN
breakfast,14,TRAIN
hood,7,TRAIN
jeep,7,TRAIN
steaming,7,TRAIN
sun,21,TRAIN
drop,7,TRAIN
notices,7,TRAIN
suggestion,7,TRAIN
stimulating,7,TRAIN
discussions,8,TRAIN
students',7,TRAIN
attention,8,TRAIN
rabbit,1,TRAIN
punch,1,TRAIN
redoubled,1,TRAIN
most,39,TRAIN
recent,7,TRAIN
survey,7,TRAIN
seismic,7,TRAIN
activity,8,TRAIN
neglect,1,TRAIN
means,5,TRAIN
spiritual,1,TRAIN
paralysis,2,TRAIN
death,4,TRAIN
seemed,7,TRAIN
irritated,1,TRAIN
shapes,1,TRAIN
bathtubs,1,TRAIN
desires,7,TRAIN
simple:,7,TRAIN
informative,7,TRAIN
paragraph,7,TRAIN
subject,14,TRAIN
build,8,TRAIN
beverage,8,TRAIN
plant,8,TRAIN
etiquette,7,TRAIN
mandates,7,TRAIN
compliance,7,TRAIN
existing,7,TRAIN
regulations,7,TRAIN
taxicab,7,TRAIN
broke,8,TRAIN
jam,7,TRAIN
paperweight,1,TRAIN
may,55,TRAIN
personalized,1,TRAIN
leather,8,TRAIN
hard,25,TRAIN
cory,7,TRAIN
attacked,9,TRAIN
project,7,TRAIN
determination,7,TRAIN
we're,4,TRAIN
"drunkards,",1,TRAIN
said,21,TRAIN
vietnamese,7,TRAIN
cuisine,7,TRAIN
exquisite,7,TRAIN
originals,1,TRAIN
necessarily,2,TRAIN
adaptations,1,TRAIN
bad,7,TRAIN
count,8,TRAIN
number,12,TRAIN
teaspoons,7,TRAIN
soysauce,7,TRAIN
easy,16,TRAIN
create,7,TRAIN
illuminating,7,TRAIN
examples,14,TRAIN
snarled,2,TRAIN
warningly,1,TRAIN
legislature,7,TRAIN
met,9,TRAIN
judge,7,TRAIN
public,10,TRAIN
seamstresses,7,TRAIN
attach,7,TRAIN
zippers,7,TRAIN
"thimble,",7,TRAIN
"needle,",7,TRAIN
thread,8,TRAIN
tapestry,8,TRAIN
hung,10,TRAIN
hallway,14,TRAIN
roll,9,TRAIN
near,28,TRAIN
wall,7,TRAIN
"cloverleaf,",7,TRAIN
sometimes,18,TRAIN
gets,7,TRAIN
backed,7,TRAIN
land-based,1,TRAIN
radar,2,TRAIN
task,2,TRAIN
chosen,1,TRAIN
purposely,1,TRAIN
women,11,TRAIN
completely,9,TRAIN
equal,7,TRAIN
men,15,TRAIN
"nice,",1,TRAIN
trifle,1,TRAIN
gaudy,1,TRAIN
haunted,7,TRAIN
house,12,TRAIN
hit,8,TRAIN
due,8,TRAIN
outstanding,7,TRAIN
audio-visual,7,TRAIN
effects,7,TRAIN
work,11,TRAIN
way,9,TRAIN
experiment,1,TRAIN
without,15,TRAIN
fixed,8,TRAIN
trials,1,TRAIN
lawyer,7,TRAIN
appointed,7,TRAIN
execute,8,TRAIN
toddler,7,TRAIN
clamshell,7,TRAIN
camp,9,TRAIN
site,10,TRAIN
eight,15,TRAIN
tiny,9,TRAIN
icicles,7,TRAIN
below,9,TRAIN
roof,10,TRAIN
drawn,1,TRAIN
enemy,4,TRAIN
flew,9,TRAIN
cooperation,7,TRAIN
along,18,TRAIN
understanding,7,TRAIN
alleviate,7,TRAIN
dispute,8,TRAIN
close,5,TRAIN
overhead,1,TRAIN
take,19,TRAIN
charge,8,TRAIN
choosing,7,TRAIN
bride's,7,TRAIN
maids',7,TRAIN
gowns,7,TRAIN
grown,8,TRAIN
"steep,",7,TRAIN
jungle-like,7,TRAIN
slopes,7,TRAIN
temperate,7,TRAIN
zones,7,TRAIN
auburn,7,TRAIN
reminded,7,TRAIN
autumn,7,TRAIN
leaves,8,TRAIN
seen,1,TRAIN
faith,2,TRAIN
among,3,TRAIN
street,9,TRAIN
straight,8,TRAIN
ahead,8,TRAIN
thyroid,1,TRAIN
function,1,TRAIN
normal,2,TRAIN
results,12,TRAIN
gorgeous,7,TRAIN
butterfly,7,TRAIN
ate,20,TRAIN
lot,9,TRAIN
nectar,7,TRAIN
order,18,TRAIN
thrusting,1,TRAIN
itself,4,TRAIN
being,7,TRAIN
kid,4,TRAIN
think,15,TRAIN
somebody,3,TRAIN
stand,2,TRAIN
audience,8,TRAIN
guilty,2,TRAIN
faces,3,TRAIN
"embracing,",1,TRAIN
exclaiming,1,TRAIN
cow,8,TRAIN
wandered,7,TRAIN
farmland,7,TRAIN
became,11,TRAIN
lost,13,TRAIN
small,23,TRAIN
corner,9,TRAIN
angry,8,TRAIN
boy,19,TRAIN
answered,10,TRAIN
why,23,TRAIN
danny,7,TRAIN
go,36,TRAIN
mayan,7,TRAIN
neoclassic,7,TRAIN
scholar,7,TRAIN
surveying,7,TRAIN
ancient,14,TRAIN
ruins,7,TRAIN
associated,1,TRAIN
expressway,1,TRAIN
stems,8,TRAIN
idea,7,TRAIN
nobody,7,TRAIN
knew,6,TRAIN
walk,9,TRAIN
thank,2,TRAIN
"you,",3,TRAIN
dusting,1,TRAIN
herself,3,TRAIN
earth,3,TRAIN
manage,1,TRAIN
algae,1,TRAIN
mixed,1,TRAIN
liquor,1,TRAIN
congratulate,1,TRAIN
entire,3,TRAIN
membership,1,TRAIN
record,4,TRAIN
legislation,2,TRAIN
man's,9,TRAIN
eyelids,1,TRAIN
fluttered,1,TRAIN
necessitates,1,TRAIN
nonsystematic,1,TRAIN
character,2,TRAIN
astronomy,1,TRAIN
villains,7,TRAIN
challenge,7,TRAIN
general's,7,TRAIN
intelligence,8,TRAIN
does,23,TRAIN
hindu,7,TRAIN
ideology,7,TRAIN
cows,9,TRAIN
quite,10,TRAIN
"often,",3,TRAIN
honeybees,1,TRAIN
form,3,TRAIN
majority,3,TRAIN
willow,1,TRAIN
catkins,1,TRAIN
top,25,TRAIN
sundown,1,TRAIN
gus,7,TRAIN
pine,7,TRAIN
trees,9,TRAIN
redwoods,14,TRAIN
through,41,TRAIN
sequoia,7,TRAIN
national,8,TRAIN
contained,7,TRAIN
chlorine,7,TRAIN
stung,7,TRAIN
eyes,22,TRAIN
birth,4,TRAIN
instantaneous,1,TRAIN
impossible,9,TRAIN
deal,11,TRAIN
bureaucracy,7,TRAIN
yellow,7,TRAIN
ointment,7,TRAIN
ready,8,TRAIN
group,18,TRAIN
valuables,7,TRAIN
bank,7,TRAIN
vault,7,TRAIN
suburbanites,7,TRAIN
refurbishing,7,TRAIN
older,7,TRAIN
home,23,TRAIN
"briefly,",2,TRAIN
"sensibly,",1,TRAIN
point,5,TRAIN
oratorical,1,TRAIN
flourishes,1,TRAIN
song,3,TRAIN
verbal,1,TRAIN
footnotes,1,TRAIN
"no,",5,TRAIN
"really,",1,TRAIN
rain,9,TRAIN
diagnosis,8,TRAIN
discouraging;,7,TRAIN
overly,7,TRAIN
worried,7,TRAIN
carl,7,TRAIN
lives,8,TRAIN
lively,8,TRAIN
birthday,15,TRAIN
parties,14,TRAIN
cupcakes,7,TRAIN
"run,",7,TRAIN
pays,7,TRAIN
buy,14,TRAIN
quality,9,TRAIN
clothing,7,TRAIN
overnighters,1,TRAIN
draw,14,TRAIN
graph,14,TRAIN
axis,7,TRAIN
always,29,TRAIN
jokes,7,TRAIN
garlic,7,TRAIN
food,8,TRAIN
crucified,1,TRAIN
him;,1,TRAIN
nailed,2,TRAIN
yard,2,TRAIN
loss,1,TRAIN
turns,1,TRAIN
calls,3,TRAIN
"mess,",1,TRAIN
buzzing,2,TRAIN
confusion,2,TRAIN
favorite,1,TRAIN
grievance,1,TRAIN
landlord,2,TRAIN
startling,1,TRAIN
contrast,3,TRAIN
system,11,TRAIN
sullen,1,TRAIN
satellites,1,TRAIN
could,45,TRAIN
imagined,2,TRAIN
"fools,",1,TRAIN
"bayed,",1,TRAIN
doing,2,TRAIN
subway,7,TRAIN
escalator,7,TRAIN
rob,7,TRAIN
hungarian,7,TRAIN
goulash,7,TRAIN
dinner,22,TRAIN
gooseberry,7,TRAIN
pie,21,TRAIN
dessert,14,TRAIN
moth,7,TRAIN
zig-zagged,7,TRAIN
path,7,TRAIN
otto's,7,TRAIN
afraid,3,TRAIN
you'll,13,TRAIN
lose,3,TRAIN
job,11,TRAIN
mouth,3,TRAIN
shut,4,TRAIN
got,18,TRAIN
drenched,7,TRAIN
uninterrupted,7,TRAIN
push,2,TRAIN
repeat,1,TRAIN
experiment's,7,TRAIN
positive,9,TRAIN
outcome,7,TRAIN
unexpected,7,TRAIN
some,32,TRAIN
observers,1,TRAIN
speculated,1,TRAIN
revenge,1,TRAIN
town,5,TRAIN
esoteric,1,TRAIN
doctrine,3,TRAIN
shuffle,1,TRAIN
acquire,1,TRAIN
special,1,TRAIN
powers,1,TRAIN
previous,7,TRAIN
speaker,7,TRAIN
presented,18,TRAIN
ambiguous,7,TRAIN
opens,7,TRAIN
chamber,8,TRAIN
optimal,1,TRAIN
humidity,1,TRAIN
requirements,1,TRAIN
various,2,TRAIN
agents,1,TRAIN
airborne,2,TRAIN
dog,17,TRAIN
loved,8,TRAIN
chew,7,TRAIN
old,16,TRAIN
doll,8,TRAIN
ignores,1,TRAIN
guidebook,1,TRAIN
facts,2,TRAIN
those,30,TRAIN
